,Year,mt_CO2_global,kg_CO2_global,pc_CO2_average,Number_of_events
0,1980,20928.866204000005,4054.845970333955,15.560998401738846,20
1,1981,20439.839033999997,4053.4009976720886,14.956098866535099,14
2,1982,20341.079621999997,4056.92650188473,14.889520411691585,15
3,1983,20530.671032000002,4050.3006700624533,14.484300518049192,15
4,1984,21080.674356,4062.0193820094173,15.006519451825469,15
5,1985,21768.494488,4068.839102163898,15.250023961034533,10
6,1986,22035.509135999997,4054.344035696734,14.603545461963343,24
7,1987,22739.156532,4056.015335475891,14.639603657702535,9
8,1988,23536.523416,4057.716956804877,14.797979573242035,14
9,1989,23866.218532000003,4062.9614962965093,15.035767887268394,16
10,1990,24198.908574,4103.139769418545,14.699546073435867,16
11,1991,24196.347148,4103.261671116788,14.475375014958248,23
12,1992,23956.117154,4108.375724725716,14.262451742554429,12
13,1993,24188.324312,4108.37309697725,14.377968937347214,13
14,1994,24323.97943,4104.97296155859,14.268335548879504,20
15,1995,24797.81289,4104.72941759693,14.247208032118499,15
16,1996,25448.406398,4104.988453351514,14.256180299234929,12
17,1997,25539.068079999997,4102.464748882353,14.29002367210572,7
18,1998,25427.461771000002,4097.985959000482,14.096399281749198,13
19,1999,25717.188883000003,4097.707504051587,14.13519182779386,17
20,2000,26395.613266,4101.278243818295,14.455950208383262,124
21,2001,26625.242653999998,4101.834881687417,14.452858266898804,113
22,2002,27163.095354000005,4101.707398996821,14.393137265605349,110
23,2003,28394.111166,4104.532781224726,14.517953451773074,108
24,2004,29606.071164,4103.822580722422,14.58078951303039,117
25,2005,30522.786476,4103.532698766217,14.620587880640016,109
26,2006,31455.525128,4102.908116647436,14.688633485323155,109
27,2007,32315.51367,4102.538433758281,14.759011333261235,110
28,2008,33010.28694800001,4103.0471246153875,14.731976416489108,114
29,2009,32597.929848,4103.224362909708,14.493429629680598,110
30,2010,34147.251873999994,4104.1430013599065,14.538243199399053,98
31,2011,35303.078244000004,4106.576882837026,14.506416857391406,112
32,2012,35813.827992000006,4110.391803278147,14.492322808078022,112
33,2013,35924.967904000005,4109.7510915254925,14.399669625183593,109
34,2014,36225.855901999996,4111.225212954663,14.418706974116821,97
35,2015,36188.969071,4113.757475994087,14.505735996674684,331
36,2016,36307.427123,4105.643889024461,14.527607963767384,425
37,2017,36757.497208,4106.591384729771,14.585424594391172,619
